Date,7-Day Moving Avg
12/20/20,2661
12/21/20,2657
12/22/20,2685
12/23/20,2688
12/24/20,2602
12/25/20,2438
12/26/20,2243
12/27/20,2218
12/28/20,2222
12/29/20,2256
12/30/20,2299
12/31/20,2366
1/1/21,2489
1/2/21,2633
1/3/21,2632
1/4/21,2641
1/5/21,2663
1/6/21,2670
1/7/21,2794
1/8/21,2962
1/9/21,3127
1/10/21,3228
1/11/21,3253
1/12/21,3333
1/13/21,3377
1/14/21,3344
1/15/21,3345
1/16/21,3362
1/17/21,3333
1/18/21,3281
1/19/21,3023
1/20/21,3062
1/21/21,3076
1/22/21,3114
1/23/21,3093
1/24/21,3099
1/25/21,3141
1/26/21,3342
1/27/21,3296
1/28/21,3263
1/29/21,3211
1/30/21,3134
1/31/21,3138
2/1/21,3102
2/2/21,3062
2/3/21,3013
2/4/21,3203
2/5/21,3200
2/6/21,3191
2/7/21,3120
2/8/21,3110
2/9/21,3022
2/10/21,3009
2/11/21,2778
2/12/21,3058
2/13/21,3134
2/14/21,3105
2/15/21,3045
2/16/21,2840
2/17/21,2687
2/18/21,2524
2/19/21,2098
2/20/21,1921
2/21/21,1919
2/22/21,1974
2/23/21,2079
2/24/21,2059
2/25/21,2176
2/26/21,2115
2/27/21,2075
2/28/21,2041
3/1/21,1996
3/2/21,1989
3/3/21,1921