Date,Weekly Doses Administered,Unix Day,Normalized
20201220,1944585,18617,0.10930052
20201227,2281171,18624,0.128219222
20210103,2462475,18631,0.138409891
20210110,5590949,18638,0.314254008
20210117,8258810,18645,0.46420816
20210124,9039912,18652,0.508112054
20210131,9460062,18659,0.531727691
20210207,11603830,18666,0.652223816
20210214,10647616,18673,0.59847729
20210221,11516680,18680,0.64732532
20210228,15106143,18687,0.849080539
20210307,17791178,18694,1
20210314,15737996,18701,0.8845955