date,approve_estimate,disapprove_estimate
20210123,55,32
20210124,55,32
20210125,55,32
20210126,55,32
20210127,53.243714,31.5518
20210128,53.111271,31.162567
20210129,53.111271,31.162567
20210130,53.111271,31.162567
20210131,53.111271,31.162567
20210201,52.163875,31.623309
20210202,51.566172,31.239489
20210203,51.021856,33.047034
20210204,53.128767,34.518122
20210205,52.492644,35.296317
20210206,52.492644,35.296317
20210207,52.492644,35.296317
20210208,52.492644,35.296317
20210209,54.088334,36.225092
20210210,53.819949,36.374483
20210211,53.901415,36.334026
20210212,53.901415,36.334026
20210213,53.902411,36.333657
20210214,53.902411,36.333657
20210215,53.898887,36.336458
20210216,53.898887,36.336458
20210217,53.741777,36.97763
20210218,53.841548,36.926738
20210219,53.841548,36.926738
20210220,53.841548,36.926738
20210221,53.841548,36.926738
20210222,54.84551,36.686568
20210223,54.374127,36.586582
20210224,54.383225,36.522148
20210225,54.541665,36.607013
20210226,54.541665,36.607013
20210227,54.541665,36.607013
20210228,54.541665,36.607013
20210301,54.049253,34.922595
20210302,53.310616,35.139211
20210303,52.233071,36.987863
20210304,52.645026,36.805394
20210305,53.451469,37.276999
20210306,53.451469,37.276999
20210307,53.451469,37.276999
20210308,53.451469,37.276999
20210309,53.526507,37.27473
20210310,52.840325,38.24952
20210311,52.981262,40.011153
20210312,52.991846,39.912734
20210313,52.991846,39.912734
20210314,54.237159,39.648534
20210315,54.237159,39.648534
20210316,54.237159,39.648534
20210317,53.808398,39.431897
20210318,54.431898,38.963521
20210319,54.431898,38.963521
20210320,54.431898,38.963521
20210321,54.431898,38.963521
20210322,55.376763,38.120135
20210323,55.376763,38.120135
20210324,54.874908,38.404315
20210325,54.556516,38.783132
20210326,54.557332,38.710858
20210327,54.557332,38.710858
20210328,54.557332,38.710858
20210329,54.556102,38.359103
20210330,54.251968,38.487069
20210331,54.348348,38.474126
20210401,53.927752,38.370304
20210402,54.059849,38.898691
20210403,54.090783,39.075651
20210404,54.101637,39.069804
20210405,53.750683,38.024683
20210406,53.750683,38.024683
20210407,52.903976,38.49487
20210408,53.133518,38.169146
20210409,53.133518,38.169146
20210410,53.133518,38.169146
20210411,53.133518,38.169146
20210412,53.204938,38.016879
20210413,53.204938,38.016879
20210414,52.104325,39.618714
20210415,52.786149,39.664545
20210416,52.812053,39.470112
20210417,52.812053,39.470112
20210418,52.812053,39.470112
20210419,52.812053,39.470112
20210420,53.030946,39.363616
20210421,53.118453,38.652505
20210422,52.974175,38.880573
20210423,53.173693,38.856646
20210424,53.173693,38.856646
20210425,54.512183,39.858875
20210426,54.333962,40.070861
20210427,54.41073,40.880241
20210428,53.995908,40.591689
20210429,53.984434,40.346212
20210430,54.132599,40.222509
20210501,54.223796,39.849973
20210502,54.223796,39.849973
20210503,53.362351,38.342717
20210504,53.460493,38.351085
20210505,53.022586,38.776771
20210506,53.087191,38.646747
20210507,53.078587,38.666459
20210508,53.078587,38.666459
20210509,53.078587,38.666459
20210510,54.132605,37.913162
20210511,54.096168,37.851638
20210512,53.856118,37.958402
20210513,53.859616,38.234761
20210514,53.859616,38.234761
20210515,53.859616,38.234761
20210516,53.859616,38.234761
20210517,53.389146,38.722383
20210518,53.389146,38.722383
20210519,53.391056,39.090993
20210520,53.226645,39.206516
20210521,53.447439,39.196084
20210522,53.447439,39.196084
20210523,53.447439,39.196084
20210524,53.451388,39.192541
20210525,53.4357,39.35863
20210526,52.898945,39.403094
20210527,52.542424,40.123656
20210528,52.221021,40.270696
20210529,52.221021,40.270696
20210530,52.221021,40.270696
20210531,52.221021,40.270696
20210601,52.549831,38.726337
20210602,52.338727,38.877181
20210603,52.264244,39.343458
20210604,52.264244,39.343458
20210605,52.264244,39.343458
20210606,52.264244,39.343458
20210607,52.264244,39.343458
20210608,52.243127,39.190987
20210609,52.081721,39.345089
20210610,51.880531,39.602219